Num. Voters,rank1,rank2,rank3
2811,-,-,-
119,ARNOLD FIELDS,-,-
3,ARNOLD FIELDS,DON MACLEAY,-
1,ARNOLD FIELDS,DON MACLEAY,DON PERATA
11,ARNOLD FIELDS,DON MACLEAY,GREG HARLAND
4,ARNOLD FIELDS,DON MACLEAY,JEAN QUAN
2,ARNOLD FIELDS,DON MACLEAY,JOE TUMAN
3,ARNOLD FIELDS,DON MACLEAY,LARRY LIONEL ''LL'' YOUNG JR.
4,ARNOLD FIELDS,DON MACLEAY,MARCIE HODGE
3,ARNOLD FIELDS,DON MACLEAY,REBECCA KAPLAN
10,ARNOLD FIELDS,DON MACLEAY,TERENCE CANDELL
16,ARNOLD FIELDS,DON PERATA,-
1,ARNOLD FIELDS,DON PERATA,DON MACLEAY
8,ARNOLD FIELDS,DON PERATA,GREG HARLAND
15,ARNOLD FIELDS,DON PERATA,JEAN QUAN
9,ARNOLD FIELDS,DON PERATA,JOE TUMAN
4,ARNOLD FIELDS,DON PERATA,LARRY LIONEL ''LL'' YOUNG JR.
6,ARNOLD FIELDS,DON PERATA,MARCIE HODGE
13,ARNOLD FIELDS,DON PERATA,REBECCA KAPLAN
9,ARNOLD FIELDS,DON PERATA,TERENCE CANDELL
18,ARNOLD FIELDS,GREG HARLAND,-
15,ARNOLD FIELDS,GREG HARLAND,DON MACLEAY
6,ARNOLD FIELDS,GREG HARLAND,DON PERATA
7,ARNOLD FIELDS,GREG HARLAND,JEAN QUAN
15,ARNOLD FIELDS,GREG HARLAND,JOE TUMAN
5,ARNOLD FIELDS,GREG HARLAND,LARRY LIONEL ''LL'' YOUNG JR.
3,ARNOLD FIELDS,GREG HARLAND,MARCIE HODGE
3,ARNOLD FIELDS,GREG HARLAND,REBECCA KAPLAN
19,ARNOLD FIELDS,GREG HARLAND,TERENCE CANDELL
15,ARNOLD FIELDS,JEAN QUAN,-
5,ARNOLD FIELDS,JEAN QUAN,DON MACLEAY
17,ARNOLD FIELDS,JEAN QUAN,DON PERATA
7,ARNOLD FIELDS,JEAN QUAN,GREG HARLAND
4,ARNOLD FIELDS,JEAN QUAN,JOE TUMAN
5,ARNOLD FIELDS,JEAN QUAN,LARRY LIONEL ''LL'' YOUNG JR.
5,ARNOLD FIELDS,JEAN QUAN,MARCIE HODGE
23,ARNOLD FIELDS,JEAN QUAN,REBECCA KAPLAN
11,ARNOLD FIELDS,JEAN QUAN,TERENCE CANDELL
23,ARNOLD FIELDS,JOE TUMAN,-
10,ARNOLD FIELDS,JOE TUMAN,DON MACLEAY
12,ARNOLD FIELDS,JOE TUMAN,DON PERATA
14,ARNOLD FIELDS,JOE TUMAN,GREG HARLAND
10,ARNOLD FIELDS,JOE TUMAN,JEAN QUAN
7,ARNOLD FIELDS,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.
11,ARNOLD FIELDS,JOE TUMAN,MARCIE HODGE
13,ARNOLD FIELDS,JOE TUMAN,REBECCA KAPLAN
14,ARNOLD FIELDS,JOE TUMAN,TERENCE CANDELL
10,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,-
4,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,DON MACLEAY
1,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,DON PERATA
4,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,GREG HARLAND
1,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,JEAN QUAN
5,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,JOE TUMAN
3,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,MARCIE HODGE
2,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,REBECCA KAPLAN
7,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.,TERENCE CANDELL
3,ARNOLD FIELDS,MARCIE HODGE,-
6,ARNOLD FIELDS,MARCIE HODGE,DON MACLEAY
3,ARNOLD FIELDS,MARCIE HODGE,DON PERATA
1,ARNOLD FIELDS,MARCIE HODGE,GREG HARLAND
3,ARNOLD FIELDS,MARCIE HODGE,JEAN QUAN
4,ARNOLD FIELDS,MARCIE HODGE,JOE TUMAN
3,ARNOLD FIELDS,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.
7,ARNOLD FIELDS,MARCIE HODGE,REBECCA KAPLAN
4,ARNOLD FIELDS,MARCIE HODGE,TERENCE CANDELL
5,ARNOLD FIELDS,REBECCA KAPLAN,-
5,ARNOLD FIELDS,REBECCA KAPLAN,DON MACLEAY
9,ARNOLD FIELDS,REBECCA KAPLAN,DON PERATA
5,ARNOLD FIELDS,REBECCA KAPLAN,GREG HARLAND
13,ARNOLD FIELDS,REBECCA KAPLAN,JEAN QUAN
5,ARNOLD FIELDS,REBECCA KAPLAN,JOE TUMAN
2,ARNOLD FIELDS,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.
6,ARNOLD FIELDS,REBECCA KAPLAN,MARCIE HODGE
9,ARNOLD FIELDS,REBECCA KAPLAN,TERENCE CANDELL
8,ARNOLD FIELDS,TERENCE CANDELL,-
6,ARNOLD FIELDS,TERENCE CANDELL,DON MACLEAY
10,ARNOLD FIELDS,TERENCE CANDELL,DON PERATA
14,ARNOLD FIELDS,TERENCE CANDELL,GREG HARLAND
5,ARNOLD FIELDS,TERENCE CANDELL,JEAN QUAN
12,ARNOLD FIELDS,TERENCE CANDELL,JOE TUMAN
9,ARNOLD FIELDS,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.
1,ARNOLD FIELDS,TERENCE CANDELL,MARCIE HODGE
5,ARNOLD FIELDS,TERENCE CANDELL,REBECCA KAPLAN
83,DON MACLEAY,-,-
8,DON MACLEAY,ARNOLD FIELDS,-
3,DON MACLEAY,ARNOLD FIELDS,DON PERATA
8,DON MACLEAY,ARNOLD FIELDS,GREG HARLAND
3,DON MACLEAY,ARNOLD FIELDS,JEAN QUAN
9,DON MACLEAY,ARNOLD FIELDS,JOE TUMAN
5,DON MACLEAY,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.
2,DON MACLEAY,ARNOLD FIELDS,MARCIE HODGE
8,DON MACLEAY,ARNOLD FIELDS,REBECCA KAPLAN
4,DON MACLEAY,ARNOLD FIELDS,TERENCE CANDELL
14,DON MACLEAY,DON PERATA,-
3,DON MACLEAY,DON PERATA,ARNOLD FIELDS
4,DON MACLEAY,DON PERATA,GREG HARLAND
17,DON MACLEAY,DON PERATA,JEAN QUAN
7,DON MACLEAY,DON PERATA,JOE TUMAN
9,DON MACLEAY,DON PERATA,LARRY LIONEL ''LL'' YOUNG JR.
3,DON MACLEAY,DON PERATA,MARCIE HODGE
8,DON MACLEAY,DON PERATA,REBECCA KAPLAN
4,DON MACLEAY,DON PERATA,TERENCE CANDELL
10,DON MACLEAY,GREG HARLAND,-
6,DON MACLEAY,GREG HARLAND,ARNOLD FIELDS
1,DON MACLEAY,GREG HARLAND,DON PERATA
1,DON MACLEAY,GREG HARLAND,JEAN QUAN
10,DON MACLEAY,GREG HARLAND,JOE TUMAN
1,DON MACLEAY,GREG HARLAND,MARCIE HODGE
7,DON MACLEAY,GREG HARLAND,TERENCE CANDELL
45,DON MACLEAY,JEAN QUAN,-
6,DON MACLEAY,JEAN QUAN,ARNOLD FIELDS
24,DON MACLEAY,JEAN QUAN,DON PERATA
2,DON MACLEAY,JEAN QUAN,GREG HARLAND
42,DON MACLEAY,JEAN QUAN,JOE TUMAN
4,DON MACLEAY,JEAN QUAN,LARRY LIONEL ''LL'' YOUNG JR.
13,DON MACLEAY,JEAN QUAN,MARCIE HODGE
679,DON MACLEAY,JEAN QUAN,REBECCA KAPLAN
13,DON MACLEAY,JEAN QUAN,TERENCE CANDELL
9,DON MACLEAY,JOE TUMAN,-
3,DON MACLEAY,JOE TUMAN,ARNOLD FIELDS
9,DON MACLEAY,JOE TUMAN,DON PERATA
12,DON MACLEAY,JOE TUMAN,GREG HARLAND
34,DON MACLEAY,JOE TUMAN,JEAN QUAN
8,DON MACLEAY,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.
11,DON MACLEAY,JOE TUMAN,MARCIE HODGE
28,DON MACLEAY,JOE TUMAN,REBECCA KAPLAN
8,DON MACLEAY,JOE TUMAN,TERENCE CANDELL
4,DON MACLEAY,LARRY LIONEL ''LL'' YOUNG JR.,-
